,node,neighbor,type,Unnamed: 0
103,10.1021/np500453x,Anticancer,doi_bioActivity,
104,10.1016/j.chroma.2009.02.009,Antimalarial,doi_bioActivity,
105,10.1590/S0103-50532002000100019,Insecticidal,doi_bioActivity,
106,10.1590/S0100-40422010000900005,Insecticidal,doi_bioActivity,
107,10.1590/S0103-50532009000400008,Antileishmanial,doi_bioActivity,
108,10.1515/znb-2005-0715,Antifungal,doi_bioActivity,
109,10.1016/j.biortech.2010.01.041,Antiviral,doi_bioActivity,
110,10.1515/znc-2008-5-611,Antileishmanial,doi_bioActivity,
111,10.1016/S0031-9422(00)00477-5,Antioxidant,doi_bioActivity,
112,10.1021/np800612x,Inhibition of Glycosidase,doi_bioActivity,
113,10.1016/S0031-9422(99)00132-6,Antifungal,doi_bioActivity,
114,10.1021/np500453x,Inhibition of Cathepsin B,doi_bioActivity,
115,10.1016/j.phytochem.2008.01.006,Inhibition of Myeloperoxodase,doi_bioActivity,
116,10.1016/j.micres.2004.06.003,Antibacterial,doi_bioActivity,
117,10.1016/j.phytochem.2008.01.006,Antioxidant,doi_bioActivity,
118,10.1021/np060254j,Anxiolytic,doi_bioActivity,
119,10.1590/S0102-695X2009000100002,Antitrypanosomal,doi_bioActivity,
120,10.1590/S0100-40422008000400018,Antifungal,doi_bioActivity,
121,10.1021/np0103970,Antitrypanosomal,doi_bioActivity,
122,10.1016/j.tiv.2008.01.003,Cytotoxic,doi_bioActivity,
123,10.1590/S0102-695X2010005000017,Antiangiogenic,doi_bioActivity,
124,10.1590/S0102-695X2010005000017,Antifungal,doi_bioActivity,
125,10.1590/S0102-695X2012005000106,Cytotoxic,doi_bioActivity,
126,10.1021/np500453x,Antichagasic,doi_bioActivity,
127,10.1515/znc-2009-11-1212,Antifungal,doi_bioActivity,
128,10.1590/S0103-50532009000400008,Antimalarial,doi_bioActivity,
129,10.1590/S0103-50532005000300018,Inhibition of Acetylcholinesterase,doi_bioActivity,
130,10.1248/cpb.56.723,Antioxidant,doi_bioActivity,
131,10.1248/bpb.31.538,Antitrypanosomal,doi_bioActivity,
132,10.1590/S0103-50532005000800029,Cytotoxic,doi_bioActivity,
133,10.1021/jf100233y,Antioxidant,doi_bioActivity,
134,10.1021/np030530j,Antifungal,doi_bioActivity,
135,10.1016/j.chroma.2009.02.066,Antifungal,doi_bioActivity,
136,10.1021/np800612x,Cytotoxic,doi_bioActivity,
137,10.1093/mutage/gep034,Genotoxic,doi_bioActivity,
138,10.1590/S0103-50532005000800026,Inhibition of Acetylcholinesterase,doi_bioActivity,
139,10.1515/znc-2008-5-611,Antitrypanosomal,doi_bioActivity,
140,10.1016/j.bmc.2010.12.056,Inhibition of Cathepsin V,doi_bioActivity,
141,10.1590/S0102-695X2008000200010,Antibacterial,doi_bioActivity,
142,10.1590/S1519-566X2008000600013,Insecticidal,doi_bioActivity,
143,10.1248/cpb.56.723,Inhibition of Glycosidase,doi_bioActivity,
144,10.1590/S0100-40422006000300016,Antioxidant,doi_bioActivity,
145,10.1590/S0100-40422010001000006,Antifungal,doi_bioActivity,
146,10.1093/mutage/gep034,Mutagenic,doi_bioActivity,
147,10.1590/S0102-695X2012005000106,Antileishmanial,doi_bioActivity,
148,10.1590/S0103-50532002000100010,Antitrypanosomal,doi_bioActivity,
149,10.1016/j.jep.2007.09.020,Antitrypanosomal,doi_bioActivity,
150,10.1007/s10295-012-1165-2,Cytotoxic,doi_bioActivity,
151,10.1021/np50086a012,Cytotoxic,doi_bioActivity,
152,10.1590/S0100-40422002000300002,Cytotoxic,doi_bioActivity,
153,10.1590/S0103-50532003000500012,Antioxidant,doi_bioActivity,
154,10.1515/znc-2011-5-607,Insecticidal,doi_bioActivity,
155,10.1248/cpb.56.723,Inhibition of Myeloperoxodase,doi_bioActivity,
156,10.1021/jf063451x,Antioxidant,doi_bioActivity,
157,10.1590/S0103-50532005000400005,Antioxidant,doi_bioActivity,
158,10.4067/S0717-97072009000300004,Inhibition of Glycosidase,doi_bioActivity,
159,10.1016/j.cbi.2010.08.008,Anticancer,doi_bioActivity,
160,10.1021/np0303963,Cytotoxic,doi_bioActivity,
161,10.1002/hlca.200890147,Antifungal,doi_bioActivity,
162,10.1590/s0100-40422008000700015,Cytotoxic,doi_bioActivity,
163,10.5935/0103-5053.19930018,Antitrypanosomal,doi_bioActivity,
164,10.1016/S0031-9422(00)00225-9,Antifungal,doi_bioActivity,
165,10.1590/S0103-50532005000800029,Antifungal,doi_bioActivity,
166,10.1093/mutage/gep034,Cytotoxic,doi_bioActivity,
167,10.1248/bpb.31.538,Antitrypanosomal,doi_bioActivity,
168,10.1023/A:1025694720727,Antitrypanosomal,doi_bioActivity,
169,10.1016/S0031-9422(98)00069-7,Inhibition of Glycosidase,doi_bioActivity,
170,10.1021/np50086a012,Molluscicidal,doi_bioActivity,
171,10.1021/np800106x,Antibacterial,doi_bioActivity,
172,10.1016/j.jphotobiol.2013.01.006,Inhibition of uncoupled electron transport,doi_bioActivity,
173,10.1590/S0103-50532010000500016,Insecticidal,doi_bioActivity,
174,10.1080/14786419.2011.647020,Antiallergenic,doi_bioActivity,
175,10.1590/S0100-40422010001000006,Antifungal,doi_bioActivity,
176,10.1016/j.chroma.2009.02.009,Antimalarial,doi_bioActivity,
177,10.1016/j.tiv.2008.01.003,Cytotoxic,doi_bioActivity,
178,10.1093/mutage/gep034,Mutagenic,doi_bioActivity,
179,10.1016/0040-4020(95)00254-6,Cytotoxic,doi_bioActivity,
180,10.1016/j.phytochem.2005.06.019,Antioxidant,doi_bioActivity,
181,10.1016/S0031-9422(97)00238-0,Antioxidant,doi_bioActivity,
182,10.1016/j.jchromb.2012.07.013,Cytotoxic,doi_bioActivity,
183,10.1016/j.biortech.2010.01.041,Inhibition of Protease,doi_bioActivity,
184,10.1590/S0102-695X2007000300003,Antioxidant,doi_bioActivity,
185,10.1002/ptr.1249,Antioxidant,doi_bioActivity,
186,10.1016/j.phytochem.2008.01.006,Antifungal,doi_bioActivity,
187,10.1021/np4006822,Antileishmanial,doi_bioActivity,
188,10.1016/j.bse.2006.06.007,Antifungal,doi_bioActivity,
189,10.1590/S0102-695X2012005000106,Antileishmanial,doi_bioActivity,
190,10.1590/S0100-40421998000600005,Antifungal,doi_bioActivity,
191,10.1590/S0103-50532005000300018,Inhibition of Acetylcholinesterase,doi_bioActivity,
192,10.1016/j.phytochem.2006.09.005,Antifungal,doi_bioActivity,
193,10.1590/S0100-40422008000400018,Antifungal,doi_bioActivity,
194,10.1080/14786410903335232,Anticancer,doi_bioActivity,
195,10.1155/2013/835081,Antifungal,doi_bioActivity,
196,10.1021/np9004079,Cytotoxic,doi_bioActivity,
197,10.1021/np049863m,Antioxidant,doi_bioActivity,
198,10.1590/S0100-40422004000200005,Cytotoxic,doi_bioActivity,
199,10.1515/znc-2008-5-611,Antileishmanial,doi_bioActivity,
200,10.1016/j.jphotobiol.2013.01.006,Inhibition of basal electron transport,doi_bioActivity,
201,10.1002/hlca.200890147,Antifungal,doi_bioActivity,
202,10.1590/s0100-40422008000700015,Cytotoxic,doi_bioActivity,
203,10.5935/0103-5053.19930018,Antitrypanosomal,doi_bioActivity,
204,10.1016/S0031-9422(00)00225-9,Antifungal,doi_bioActivity,
205,10.1590/S0103-50532005000800029,Antifungal,doi_bioActivity,
206,10.1093/mutage/gep034,Cytotoxic,doi_bioActivity,
207,10.1248/bpb.31.538,Antitrypanosomal,doi_bioActivity,
208,10.1023/A:1025694720727,Antitrypanosomal,doi_bioActivity,
209,10.1016/S0031-9422(98)00069-7,Inhibition of Glycosidase,doi_bioActivity,
210,10.1021/np50086a012,Molluscicidal,doi_bioActivity,
211,10.1021/np800106x,Antibacterial,doi_bioActivity,
212,10.1016/j.jphotobiol.2013.01.006,Inhibition of uncoupled electron transport,doi_bioActivity,
213,10.1590/S0103-50532010000500016,Insecticidal,doi_bioActivity,
214,10.1080/14786419.2011.647020,Antiallergenic,doi_bioActivity,
215,10.1590/S0100-40422010001000006,Antifungal,doi_bioActivity,
216,10.1016/j.chroma.2009.02.009,Antimalarial,doi_bioActivity,
217,10.1016/j.tiv.2008.01.003,Cytotoxic,doi_bioActivity,
218,10.1093/mutage/gep034,Mutagenic,doi_bioActivity,
219,10.1016/0040-4020(95)00254-6,Cytotoxic,doi_bioActivity,
220,10.1016/j.phytochem.2005.06.019,Antioxidant,doi_bioActivity,
221,10.1016/S0031-9422(97)00238-0,Antioxidant,doi_bioActivity,
222,10.1016/j.jchromb.2012.07.013,Cytotoxic,doi_bioActivity,
223,10.1016/j.biortech.2010.01.041,Inhibition of Protease,doi_bioActivity,
224,10.1590/S0102-695X2007000300003,Antioxidant,doi_bioActivity,
225,10.1002/ptr.1249,Antioxidant,doi_bioActivity,
226,10.1016/j.phytochem.2008.01.006,Antifungal,doi_bioActivity,
227,10.1021/np4006822,Antileishmanial,doi_bioActivity,
228,10.1016/j.bse.2006.06.007,Antifungal,doi_bioActivity,
229,10.1590/S0102-695X2012005000106,Antileishmanial,doi_bioActivity,
230,10.1590/S0100-40421998000600005,Antifungal,doi_bioActivity,
231,10.1590/S0103-50532005000300018,Inhibition of Acetylcholinesterase,doi_bioActivity,
232,10.1016/j.phytochem.2006.09.005,Antifungal,doi_bioActivity,
233,10.1590/S0100-40422008000400018,Antifungal,doi_bioActivity,
234,10.1080/14786410903335232,Anticancer,doi_bioActivity,
235,10.1155/2013/835081,Antifungal,doi_bioActivity,
236,10.1021/np9004079,Cytotoxic,doi_bioActivity,
237,10.1021/np049863m,Antioxidant,doi_bioActivity,
238,10.1590/S0100-40422004000200005,Cytotoxic,doi_bioActivity,
239,10.1515/znc-2008-5-611,Antileishmanial,doi_bioActivity,
240,10.1016/j.jphotobiol.2013.01.006,Inhibition of basal electron transport,doi_bioActivity,
241,10.3390/molecules15129205,Inhibition of Acetylcholinesterase,doi_bioActivity,
242,10.1021/np800612x,Cytotoxic,doi_bioActivity,
243,10.1021/np800612x,Antiangiogenic,doi_bioActivity,
244,10.1021/np800612x,Inhibition of Glycosidase,doi_bioActivity,
245,10.1021/np800612x,Antifungal,doi_bioActivity,
246,10.1515/znc-2002-5-602,Cytotoxic,doi_bioActivity,
247,10.1515/znc-2002-5-602,Anticancer,doi_bioActivity,
248,10.1515/znc-2002-5-602,Insecticidal,doi_bioActivity,
249,10.1248/cpb.56.723,Inhibition of Myeloperoxodase,doi_bioActivity,
250,10.1248/cpb.56.723,Antioxidant,doi_bioActivity,
251,10.1248/cpb.56.723,Inhibition of Glycosidase,doi_bioActivity,
252,10.1016/0031-9422(90)80024-B,Molluscicidal,doi_bioActivity,
253,10.1248/cpb.56.407,Antinociceptive,doi_bioActivity,
254,10.1248/cpb.56.407,Anti-inflamatory,doi_bioActivity,
255,10.1016/j.phytochem.2006.06.004,Antifungal,doi_bioActivity,
256,10.1016/j.phytochem.2006.06.004,Cytotoxic,doi_bioActivity,
257,10.1021/np500453x,Antimalarial,doi_bioActivity,
258,10.1021/np500453x,Inhibition of Cathepsin B,doi_bioActivity,
259,10.1021/np500453x,Antichagasic,doi_bioActivity,
260,10.1021/np500453x,Inhibition of Cathepsin L,doi_bioActivity,
261,10.1021/np500453x,Anticancer,doi_bioActivity,
262,10.1021/np900644x,Inhibition of Acetylcholinesterase,doi_bioActivity,
263,10.1007/s10295-012-1165-2,Cytotoxic,doi_bioActivity,
264,10.1590/S0100-40422008000400018,Antioxidant,doi_bioActivity,
265,10.1590/S0100-40422008000400018,Inhibition of Myeloperoxodase,doi_bioActivity,
266,10.1590/S0100-40422008000400018,Inhibition of Glycosidase,doi_bioActivity,
267,10.1590/S0103-50532005000400005,Antioxidant,doi_bioActivity,
268,10.1016/j.phytochem.2008.01.006,Antioxidant,doi_bioActivity,
269,10.1016/j.phytochem.2008.01.006,Inhibition of Glycosidase,doi_bioActivity,
270,10.1016/j.phytochem.2008.01.006,Inhibition of Myeloperoxodase,doi_bioActivity,
271,10.1021/np4006822,Inhibition of Acetylcholinesterase,doi_bioActivity,
272,10.1021/np4006822,Cytotoxic,doi_bioActivity,
273,10.1021/np030530j,Antifungal,doi_bioActivity,
274,10.1590/S0102-695X2010000100002,Antitrypanosomal,doi_bioActivity,
275,10.1590/S0103-50532005000800029,Cytotoxic,doi_bioActivity,
276,10.1590/S0103-50532006000300017,Insecticidal,doi_bioActivity,
277,10.1016/j.phytochem.2009.08.013,Antifungal,doi_bioActivity,
278,10.1016/j.phytol.2010.11.003,Antifungal,doi_bioActivity,
279,10.1016/j.phytol.2010.11.003,Inhibition of Acetylcholinesterase,doi_bioActivity,
280,10.1107/S1600536803019913,Antileishmanial,doi_bioActivity,
281,10.1002/jobm.200800093,Cytotoxic,doi_bioActivity,
282,10.1016/S0031-9422(00)00477-5,Antioxidant,doi_bioActivity,
283,10.1021/cc100076k,Inhibition of Cathepsin V,doi_bioActivity,
284,10.1021/cc100076k,Antitrypanosomal,doi_bioActivity,
285,10.1590/S0103-50532007000700017,Antifungal,doi_bioActivity,
286,10.1590/S0103-50532007000700017,Antioxidant,doi_bioActivity,
287,10.1590/S0100-40422009000600037,Insecticidal,doi_bioActivity,
288,10.1016/0031-9422(91)85077-D,Antifungal,doi_bioActivity,
289,10.1590/S0100-40422012000700020,Inhibition of Acetylcholinesterase,doi_bioActivity,
290,10.1590/S0100-40422005000400009,Antifungal,doi_bioActivity,
291,10.1016/j.chroma.2009.02.009,Antitrypanosomal,doi_bioActivity,
292,10.1016/S0031-9422(00)00323-X,Antifungal,doi_bioActivity,
293,10.1023/B:JOEC.0000042400.14451.08,Insecticidal,doi_bioActivity,
294,10.1016/S0031-9422(00)00225-9,Antibacterial,doi_bioActivity,
295,10.3390/molecules190812031,Insecticidal,doi_bioActivity,
296,10.3390/molecules190812031,Antileishmanial,doi_bioActivity,
297,10.1016/j.micres.2004.06.003,Antibacterial,doi_bioActivity,
298,10.1590/S1519-566X2008000600013,Insecticidal,doi_bioActivity,
299,10.1093/mutage/gep034,Genotoxic,doi_bioActivity,
300,10.1016/j.jphotobiol.2013.01.006,Inhibition of ATP synthesis,doi_bioActivity,
301,10.1016/j.jphotobiol.2013.01.006,Inhibition of phosphorylating electron transport,doi_bioActivity,
302,10.1021/jf063451x,Anti-inflamatory,doi_bioActivity,
303,10.1021/jf063451x,Antioxidant,doi_bioActivity,
304,10.1016/j.tiv.2008.01.003,Anticancer,doi_bioActivity,
305,10.1590/S0103-50532005000800008,Antioxidant,doi_bioActivity,
306,10.1590/S0103-50532005000800025,Antifungal,doi_bioActivity,
307,10.1590/S0103-50532005000800025,Inhibition of Acetylcholinesterase,doi_bioActivity,
308,10.1016/S0031-9422(03)00153-5,Antitrypanosomal,doi_bioActivity,
309,10.1055/s-2002-36346,Antibacterial,doi_bioActivity,
310,10.1080/14786410412331271979,Cytotoxic,doi_bioActivity,
311,10.1016/S0031-9422(99)00132-6,Antifungal,doi_bioActivity,
312,10.1016/S0031-9422(99)00132-6,Cytotoxic,doi_bioActivity,
313,10.1016/S0031-9422(99)00132-6,Anticancer,doi_bioActivity,
314,10.1021/np0303963,Cytotoxic,doi_bioActivity,
315,10.1590/S0102-695X2010005000017,Antifungal,doi_bioActivity,
316,10.1590/S0102-695X2010005000017,Cytotoxic,doi_bioActivity,
317,10.1590/S0102-695X2010005000017,Antiangiogenic,doi_bioActivity,
318,10.1590/S0102-695X2010005000017,Inhibition of Glycosidase,doi_bioActivity,
319,10.1590/S0103-50532005000800026,Inhibition of Acetylcholinesterase,doi_bioActivity,
320,10.1021/np50086a012,Cytotoxic,doi_bioActivity,
321,10.1016/j.jfca.2003.09.013,Antioxidant,doi_bioActivity,
322,10.1016/j.jfca.2003.09.013,Inhibition of Glycosidase,doi_bioActivity,
323,10.1590/S0073-47212009000100009,Insecticidal,doi_bioActivity,
324,10.1021/jf00030a035,Anticancer,doi_bioActivity,
325,10.1021/jf00030a035,Cytotoxic,doi_bioActivity,
326,10.1590/S0103-50532009000400008,Antitrypanosomal,doi_bioActivity,
327,10.1590/S0103-50532009000400008,Antimalarial,doi_bioActivity,
328,10.1590/S0103-50532009000400008,Antileishmanial,doi_bioActivity,
329,10.1515/znb-2005-0715,Antifungal,doi_bioActivity,
330,10.1021/np9704617,Antifungal,doi_bioActivity,
331,10.1016/j.cbi.2010.08.008,Anticancer,doi_bioActivity,
332,10.1016/j.cbi.2010.08.008,Cytotoxic,doi_bioActivity,
333,10.5935/0103-5053.19960024,Antifungal,doi_bioActivity,
334,10.1055/s-0029-1185364,Antitrypanosomal,doi_bioActivity,
335,10.1016/j.phytochem.2006.09.005,Cytotoxic,doi_bioActivity,
336,10.1021/np9703656,Antifungal,doi_bioActivity,
337,10.1590/S0100-40422008000400005,Antitrypanosomal,doi_bioActivity,
338,10.1016/0031-9422(81)80027-1,Anesthetic,doi_bioActivity,
339,10.1590/S0102-695X2007000300003,Antioxidant,doi_bioActivity,
340,10.1016/0031-9422(73)85048-4,Antitrypanosomal,doi_bioActivity,
341,10.1016/j.phytochem.2005.04.043,Antifungal,doi_bioActivity,
342,10.1016/0040-4020(95)00254-6,Cytotoxic,doi_bioActivity,
343,10.1002/ptr.1249,Antioxidant,doi_bioActivity,
344,10.1016/0031-9422(91)85077-D,Antifungal,doi_bioActivity,
345,10.1016/j.phytochem.2006.06.004,Antifungal,doi_bioActivity,
346,10.1016/S0031-9422(97)00598-0,Antitrypanosomal,doi_bioActivity,
347,10.1016/j.bse.2006.06.007,Antifungal,doi_bioActivity,
348,10.1002/cbdv.200590016,Antioxidant,doi_bioActivity,
349,10.1590/S0103-50532005000400031,Insecticidal,doi_bioActivity,
350,10.1248/cpb.56.407,Anti-inflamatory,doi_bioActivity,
351,10.1016/S0031-9422(97)00238-0,Antifungal,doi_bioActivity,
352,10.1590/S0100-40422005000400009,Antifungal,doi_bioActivity,
353,10.1002/ps.478,Insecticidal,doi_bioActivity,
354,10.1002/jobm.200800093,Cytotoxic,doi_bioActivity,
355,10.1002/ps.1278,Insecticidal,doi_bioActivity,
356,10.1590/S0100-40422012000700020,Inhibition of Acetylcholinesterase,doi_bioActivity,
357,10.1016/S0031-9422(03)00153-5,Antitrypanosomal,doi_bioActivity,
358,10.1021/np9004079,Cytotoxic,doi_bioActivity,
359,10.1590/S0103-50532006000300017,Insecticidal,doi_bioActivity,
360,10.1016/j.phytochem.2009.08.013,Antifungal,doi_bioActivity,
361,10.1590/s0100-40422008000700015,Cytotoxic,doi_bioActivity,
362,10.1016/S0031-9422(01)00079-6,Cytotoxic,doi_bioActivity,
363,10.1016/j.phytochem.2004.03.039,Antioxidant,doi_bioActivity,
364,10.1590/S0100-40422008000400005,Antitrypanosomal,doi_bioActivity,
365,10.1590/S0103-50532002000100019,Insecticidal,doi_bioActivity,
366,10.1590/S0100-40422010000900005,Insecticidal,doi_bioActivity,
367,10.1590/S0103-50532009000400008,Antileishmanial,doi_bioActivity,
368,10.1515/znb-2005-0715,Antifungal,doi_bioActivity,
369,10.1515/znc-2008-5-611,Antileishmanial,doi_bioActivity,
370,10.1016/S0031-9422(00)00477-5,Antioxidant,doi_bioActivity,
371,10.1016/j.micres.2004.06.003,Antibacterial,doi_bioActivity,
372,10.1021/np060254j,Anxiolytic,doi_bioActivity,
373,10.1590/S0102-695X2009000100002,Antitrypanosomal,doi_bioActivity,
374,10.1021/np0103970,Antitrypanosomal,doi_bioActivity,
375,10.1016/j.tiv.2008.01.003,Cytotoxic,doi_bioActivity,
376,10.1590/S0102-695X2012005000106,Cytotoxic,doi_bioActivity,
377,10.1590/S0103-50532009000400008,Antimalarial,doi_bioActivity,
378,10.1590/S0103-50532005000300018,Inhibition of Acetylcholinesterase,doi_bioActivity,
379,10.1248/cpb.56.723,Antioxidant,doi_bioActivity,
380,10.1248/bpb.31.538,Antitrypanosomal,doi_bioActivity,
381,10.1021/jf100233y,Antioxidant,doi_bioActivity,
382,10.1021/np030530j,Antifungal,doi_bioActivity,
383,10.1016/j.chroma.2009.02.066,Antifungal,doi_bioActivity,
384,10.1590/S0103-50532005000800026,Inhibition of Acetylcholinesterase,doi_bioActivity,
385,10.1515/znc-2008-5-611,Antitrypanosomal,doi_bioActivity,
386,10.1016/j.bmc.2010.12.056,Inhibition of Cathepsin V,doi_bioActivity,
387,10.1590/S0102-695X2008000200010,Antibacterial,doi_bioActivity,
388,10.1590/S1519-566X2008000600013,Insecticidal,doi_bioActivity,
