Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.9347826086956522
Tarefa: collectionSite | Estagio: 4th | Fold: 9 | Hits@20: 0.6296296296296297
Tarefa: bioActivity | Estagio: 1st | Fold: 0 | Hits@5: 0.7606666666666666
Tarefa: bioActivity | Estagio: 2nd | Fold: 0 | Hits@5: 0.7835249042145594
Tarefa: bioActivity | Estagio: 3rd | Fold: 0 | Hits@5: 0.7203389830508474
Tarefa: bioActivity | Estagio: 4th | Fold: 0 | Hits@5: 0.7586206896551724
Tarefa: bioActivity | Estagio: 1st | Fold: 1 | Hits@5: 0.7209401709401709
Tarefa: bioActivity | Estagio: 2nd | Fold: 1 | Hits@5: 0.7642276422764227
Tarefa: bioActivity | Estagio: 3rd | Fold: 1 | Hits@5: 0.8601190476190477
Tarefa: bioActivity | Estagio: 4th | Fold: 1 | Hits@5: 0.8452380952380952
Tarefa: bioActivity | Estagio: 1st | Fold: 2 | Hits@5: 0.7688888888888888
Tarefa: bioActivity | Estagio: 2nd | Fold: 2 | Hits@5: 0.7876984126984128
Tarefa: bioActivity | Estagio: 3rd | Fold: 2 | Hits@5: 0.7777777777777778
Tarefa: bioActivity | Estagio: 4th | Fold: 2 | Hits@5: 0.7988505747126438
Tarefa: bioActivity | Estagio: 1st | Fold: 3 | Hits@5: 0.701388888888889
Tarefa: bioActivity | Estagio: 2nd | Fold: 3 | Hits@5: 0.6984126984126985
Tarefa: bioActivity | Estagio: 3rd | Fold: 3 | Hits@5: 0.7017543859649122
Tarefa: bioActivity | Estagio: 4th | Fold: 3 | Hits@5: 0.7413793103448276
Tarefa: bioActivity | Estagio: 1st | Fold: 4 | Hits@5: 0.7510928961748633
Tarefa: bioActivity | Estagio: 2nd | Fold: 4 | Hits@5: 0.7392156862745097
Tarefa: bioActivity | Estagio: 3rd | Fold: 4 | Hits@5: 0.7959770114942528
Tarefa: bioActivity | Estagio: 4th | Fold: 4 | Hits@5: 0.8448275862068966
Tarefa: bioActivity | Estagio: 1st | Fold: 5 | Hits@5: 0.7598915989159892
Tarefa: bioActivity | Estagio: 2nd | Fold: 5 | Hits@5: 0.7800387596899224
Tarefa: bioActivity | Estagio: 3rd | Fold: 5 | Hits@5: 0.7543103448275862
Tarefa: bioActivity | Estagio: 4th | Fold: 5 | Hits@5: 0.7413793103448276
Tarefa: bioActivity | Estagio: 1st | Fold: 6 | Hits@5: 0.7829234972677596
Tarefa: bioActivity | Estagio: 2nd | Fold: 6 | Hits@5: 0.7627450980392156
Tarefa: bioActivity | Estagio: 3rd | Fold: 6 | Hits@5: 0.8333333333333333
Tarefa: bioActivity | Estagio: 4th | Fold: 6 | Hits@5: 0.7643678160919539
Tarefa: bioActivity | Estagio: 1st | Fold: 7 | Hits@5: 0.7182203389830507
Tarefa: bioActivity | Estagio: 2nd | Fold: 7 | Hits@5: 0.7580321285140563
Tarefa: bioActivity | Estagio: 3rd | Fold: 7 | Hits@5: 0.78125
Tarefa: bioActivity | Estagio: 4th | Fold: 7 | Hits@5: 0.8035714285714286
Tarefa: bioActivity | Estagio: 1st | Fold: 8 | Hits@5: 0.6913793103448275
Tarefa: bioActivity | Estagio: 2nd | Fold: 8 | Hits@5: 0.7201646090534979
Tarefa: bioActivity | Estagio: 3rd | Fold: 8 | Hits@5: 0.7606060606060606
Tarefa: bioActivity | Estagio: 4th | Fold: 8 | Hits@5: 0.7901234567901234
Tarefa: bioActivity | Estagio: 1st | Fold: 9 | Hits@5: 0.698728813559322
Tarefa: bioActivity | Estagio: 2nd | Fold: 9 | Hits@5: 0.720281124497992
Tarefa: bioActivity | Estagio: 3rd | Fold: 9 | Hits@5: 0.7327380952380952
Tarefa: bioActivity | Estagio: 4th | Fold: 9 | Hits@5: 0.75
Tarefa: collectionSpecie | Estagio: 1st | Fold: 0 | Hits@50: 0.5488505747126436
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 0 | Hits@50: 0.5802469135802469
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 0 | Hits@50: 0.5818181818181818
Tarefa: collectionSpecie | Estagio: 4th | Fold: 0 | Hits@50: 0.5185185185185185
Tarefa: collectionSpecie | Estagio: 1st | Fold: 1 | Hits@50: 0.48005698005698005
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 1 | Hits@50: 0.44715447154471544
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 1 | Hits@50: 0.42261904761904756
Tarefa: collectionSpecie | Estagio: 4th | Fold: 1 | Hits@50: 0.35714285714285715
Tarefa: collectionSpecie | Estagio: 1st | Fold: 2 | Hits@50: 0.4729344729344729
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 2 | Hits@50: 0.49186991869918695
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 2 | Hits@50: 0.5238095238095238
Tarefa: collectionSpecie | Estagio: 4th | Fold: 2 | Hits@50: 0.42857142857142855
Tarefa: collectionSpecie | Estagio: 1st | Fold: 3 | Hits@50: 0.45545977011494254
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 3 | Hits@50: 0.5185185185185185
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 3 | Hits@50: 0.5272727272727272
Tarefa: collectionSpecie | Estagio: 4th | Fold: 3 | Hits@50: 0.6666666666666666
Tarefa: collectionSpecie | Estagio: 1st | Fold: 4 | Hits@50: 0.5356125356125356
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 4 | Hits@50: 0.5081300813008129
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 4 | Hits@50: 0.5476190476190476
Tarefa: collectionSpecie | Estagio: 4th | Fold: 4 | Hits@50: 0.5357142857142857
Tarefa: collectionSpecie | Estagio: 1st | Fold: 5 | Hits@50: 0.3494152046783625
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 5 | Hits@50: 0.35
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 5 | Hits@50: 0.37037037037037035
Tarefa: collectionSpecie | Estagio: 4th | Fold: 5 | Hits@50: 0.3333333333333333
Tarefa: collectionSpecie | Estagio: 1st | Fold: 6 | Hits@50: 0.32748538011695905
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 6 | Hits@50: 0.32916666666666666
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 6 | Hits@50: 0.32098765432098764
Tarefa: collectionSpecie | Estagio: 4th | Fold: 6 | Hits@50: 0.2716049382716049
Tarefa: collectionSpecie | Estagio: 1st | Fold: 7 | Hits@50: 0.5409604519774011
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 7 | Hits@50: 0.49799196787148586
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 7 | Hits@50: 0.5178571428571429
Tarefa: collectionSpecie | Estagio: 4th | Fold: 7 | Hits@50: 0.4642857142857143
Tarefa: collectionSpecie | Estagio: 1st | Fold: 8 | Hits@50: 0.2246376811594203
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 8 | Hits@50: 0.2139917695473251
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 8 | Hits@50: 0.2
Tarefa: collectionSpecie | Estagio: 4th | Fold: 8 | Hits@50: 0.2222222222222222
Tarefa: collectionSpecie | Estagio: 1st | Fold: 9 | Hits@50: 0.5427350427350427
Tarefa: collectionSpecie | Estagio: 2nd | Fold: 9 | Hits@50: 0.5792682926829268
Tarefa: collectionSpecie | Estagio: 3rd | Fold: 9 | Hits@50: 0.5178571428571429
Tarefa: collectionSpecie | Estagio: 4th | Fold: 9 | Hits@50: 0.4642857142857143
Tarefa: name | Estagio: 1st | Fold: 0 | Hits@50: 0.2922391857506361
Tarefa: name | Estagio: 2nd | Fold: 0 | Hits@50: 0.3292572463768116
Tarefa: name | Estagio: 3rd | Fold: 0 | Hits@50: 0.30820105820105814
Tarefa: name | Estagio: 4th | Fold: 0 | Hits@50: 0.25
Tarefa: name | Estagio: 1st | Fold: 1 | Hits@50: 0.2641706046286199
Tarefa: name | Estagio: 2nd | Fold: 1 | Hits@50: 0.2965752242926156
Tarefa: name | Estagio: 3rd | Fold: 1 | Hits@50: 0.28291761148904004
Tarefa: name | Estagio: 4th | Fold: 1 | Hits@50: 0.2043010752688172
Tarefa: name | Estagio: 1st | Fold: 2 | Hits@50: 0.3100793650793651
Tarefa: name | Estagio: 2nd | Fold: 2 | Hits@50: 0.3233821733821734
Tarefa: name | Estagio: 3rd | Fold: 2 | Hits@50: 0.2698924731182796
Tarefa: name | Estagio: 4th | Fold: 2 | Hits@50: 0.27956989247311825
Tarefa: name | Estagio: 1st | Fold: 3 | Hits@50: 0.20141387419165196
Tarefa: name | Estagio: 2nd | Fold: 3 | Hits@50: 0.20411445279866333
Tarefa: name | Estagio: 3rd | Fold: 3 | Hits@50: 0.21769230769230766
Tarefa: name | Estagio: 4th | Fold: 3 | Hits@50: 0.2398989898989899
Tarefa: name | Estagio: 1st | Fold: 4 | Hits@50: 0.3031084656084656
Tarefa: name | Estagio: 2nd | Fold: 4 | Hits@50: 0.2814829192546584
Tarefa: name | Estagio: 3rd | Fold: 4 | Hits@50: 0.26375661375661374
Tarefa: name | Estagio: 4th | Fold: 4 | Hits@50: 0.30107526881720426
Tarefa: name | Estagio: 1st | Fold: 5 | Hits@50: 0.2881690660760428
Tarefa: name | Estagio: 2nd | Fold: 5 | Hits@50: 0.3031481481481481
Tarefa: name | Estagio: 3rd | Fold: 5 | Hits@50: 0.31748633879781424
Tarefa: name | Estagio: 4th | Fold: 5 | Hits@50: 0.3521505376344085
Tarefa: name | Estagio: 1st | Fold: 6 | Hits@50: 0.2541989664082687
Tarefa: name | Estagio: 2nd | Fold: 6 | Hits@50: 0.1962962962962963
Tarefa: name | Estagio: 3rd | Fold: 6 | Hits@50: 0.14412568306010928
Tarefa: name | Estagio: 4th | Fold: 6 | Hits@50: 0.0967741935483871
Tarefa: name | Estagio: 1st | Fold: 7 | Hits@50: 0.2606527623969484
Tarefa: name | Estagio: 2nd | Fold: 7 | Hits@50: 0.2884259259259259
Tarefa: name | Estagio: 3rd | Fold: 7 | Hits@50: 0.28961748633879786
Tarefa: name | Estagio: 4th | Fold: 7 | Hits@50: 0.20967741935483872
Tarefa: name | Estagio: 1st | Fold: 8 | Hits@50: 0.32335004177109433
Tarefa: name | Estagio: 2nd | Fold: 8 | Hits@50: 0.3510752688172043
Tarefa: name | Estagio: 3rd | Fold: 8 | Hits@50: 0.34788359788359785
Tarefa: name | Estagio: 4th | Fold: 8 | Hits@50: 0.31989247311827956
Tarefa: name | Estagio: 1st | Fold: 9 | Hits@50: 0.2505769230769231
Tarefa: name | Estagio: 2nd | Fold: 9 | Hits@50: 0.21978021978021978
Tarefa: name | Estagio: 3rd | Fold: 9 | Hits@50: 0.2228494623655914
Tarefa: name | Estagio: 4th | Fold: 9 | Hits@50: 0.27956989247311825
